User ID,Risk_Initial,Risk,Mean.Pumps,Mean.time
1,4,0,3.8,1.916363261
2,7,2,1.6,8.407263616
8,7,2,3.6,2.672621114
11,5,1,4.8,2.382728842
15,7,2,5,2.917981024
18,5,1,8.2,2.776161337
19,6,1,8.2,3.606559569
21,5,1,2.8,2.851960301
22,6,1,6,2.252899429
24,5,1,3,4.169394517
33,8,2,9.4,2.091971917
34,4,0,4.8,2.97430032
35,5,1,3.6,2.852607468
39,4,0,6,2.425789525
41,6,1,3.8,2.372261918
42,3,0,4,2.495891651
43,8,2,1.8,2.664281093
45,7,2,10,2.416489879
46,9,2,8.4,2.519104424
47,3,0,2.4,2.654937199
48,9,2,5.4,2.988352092
49,3,0,5,2.434971614
50,7,2,7,2.987502581
51,4,0,7.4,3.131738773
52,6,1,7.4,3.381536305
56,6,1,8,2.223222455
57,5,1,6.4,2.87765601
59,4,0,3.4,2.557002658
63,5,1,2.8,3.366962194
64,4,0,5.4,2.235545246
65,7,2,7.2,2.751821917
68,4,0,10.2,2.280387909
70,7,2,4.8,3.120409639
72,6,1,3.4,3.352855837
74,7,2,9.8,2.743151546
77,3,0,6.8,2.733400961
81,9,2,3,2.748204337
85,7,2,7.4,2.833260053
89,3,0,4,2.361878157
94,5,1,7,2.605360795
95,5,1,7.6,2.093746162
97,7,2,3,3.963277618
101,5,1,7.2,2.467799975
102,2,0,3.4,3.207670463
